drug_name,smiles
"(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE",COC1=CC(=CC=C1O)C1=CC2=C(C=C1)\C(=C\C1=CC=CN1)C(=O)N2
3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol,CC#CCOC1=CC=C(C=C1)S(=O)(=O)CCCS
TO-901317,OC(C1=CC=C(C=C1)N(CC(F)(F)F)S(=O)(=O)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F
"(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",[H][C@](N)(CC(=O)N1CCN2N=C(N=C2[C@@]1([H])C)C(F)(F)F)CC1=C(F)C=C(F)C(F)=C1
"1,1,1,3,3,3-HEXAFLUORO-2-{4-[(2,2,2-TRIFLUOROETHYL)AMINO]PHENYL}PROPAN-2-OL",OC(C1=CC=C(NCC(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F
beta-phenyl-D-phenylalanyl-N-propyl-L-prolinamide,[H][C@@](N)(C(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCCC
"N-(6,7,9,10,17,18,20,21-octahydrodibenzo[b,k][1,4,7,10,13,16]hexaoxacyclooctadecin-2-yl)acetamide",CC(=O)NC1=CC=C2OCCOCCOC3=C(OCCOCCOC2=C1)C=CC=C3
2-{[N-(2-ACETYL-5-CHLORO-4-FLUOROPHENYL)GLYCYL]AMINO}BENZOIC ACID,CC(=O)C1=CC(F)=C(Cl)C=C1NCC(=O)NC1=CC=CC=C1C(O)=O
"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",[H][C@@]12C[C@@](CO)(CO[C@]1([H])C1=CC=C(O)C=C1)CC=C2C
"4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",[H][C@]1(C)CC[C@]2(CO)CO[C@]([H])(C3=CC=C(O)C=C3)[C@@]1([H])[C@@]2([H])C
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide,[H][C@]1(CCCN1C(=O)COC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
N-[amino(imino)methyl]-2-[2-(2-chlorophenyl)-4-(4-propoxyphenyl)-3-thienyl]acetamide,CCCOC1=CC=C(C=C1)C1=CSC(=C1CC(=O)NC(N)=N)C1=CC=CC=C1Cl
(3S)-N-(3-CHLORO-2-METHYLPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,[H][C@]1(CN(C2CCCCC2)C(=O)C1)C(=O)NC1=C(C)C(Cl)=CC=C1
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,[H][C@]1(CCCN1C(=O)COC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
"(2S,3S)-3-AMINO-4-(3,3-DIFLUOROPYRROLIDIN-1-YL)-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-6-YLCYCLOHEXYL)BUTANAMIDE",[H][C@@](N)(C(=O)N1CCC(F)(F)C1)[C@@]([H])(C(=O)N(C)C)[C@@]1([H])CC[C@@]([H])(CC1)C1=CN2N=CN=C2C=C1
"{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID",OC(=O)CN1C=CC(=O)N(CC2=NC3=CC(Cl)=CC=C3S2)C1=O
"1-(2,2'-bithiophen-5-yl)methanamine",NCC1=CC=C(S1)C1=CC=CS1
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide,[H][C@]1(CCCN1C(=O)CCC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
"6-AMINO-BENZO[DE]ISOQUINOLINE-1,3-DIONE",NC1=CC=C2C(=O)NC(=O)C3=CC=CC1=C23
"4-tert-butyl-N'-[(1E)-(3,5-dibromo-2,4-dihydroxyphenyl)methylidene]benzohydrazide",CC(C)(C)C1=CC=C(C=C1)C(=O)N\N=C\C1=CC(Br)=C(O)C(Br)=C1O
"4-bromo-N'-[(1E)-(3,5-dibromo-2,4-dihydroxyphenyl)methylidene]benzohydrazide",OC1=C(Br)C=C(\C=N\NC(=O)C2=CC=C(Br)C=C2)C(O)=C1Br
N-[4-(benzyloxy)phenyl]glycinamide,NCC(=O)NC1=CC=C(OCC2=CC=CC=C2)C=C1
"4-CHLORO-6-(4-PIPERAZIN-1-YL-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL",OC1=CC(O)=C(Cl)C=C1C1=C(C=NN1)N1CCNCC1
Mirdametinib,[H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1
(2S)-2-amino-5-oxo-5-[(4-phenylmethoxyphenyl)amino]pentanoic acid,[H][C@](N)(CCC(=O)NC1=CC=C(OCC2=CC=CC=C2)C=C1)C(O)=O
2-(4-METHYLPHENOXY)ETHYLPHOSPHINATE,[H][P@]([O-])(=O)CCOC1=CC=C(C)C=C1
4-amino-N-[4-(benzyloxy)phenyl]butanamide,NCCCC(=O)NC1=CC=C(OCC2=CC=CC=C2)C=C1
2-[2-(4-Chloro-Phenylsulfanyl)-Acetylamino]-3-(4-Guanidino-Phenyl)-Propionamide,NC(N)=NC1=CC=C(CC(NC(=O)CSC2=CC=C(Cl)C=C2)C(N)=O)C=C1
SKF-91488,CN(C)CCCCSC(N)=N
(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE,[H][C@@](N)(COC1=CN=CC(\C=C\C2=CC=NC=C2)=C1)CC1=CNC2=C1C=CC=C2
"4'-FLUORO-1,1'-BIPHENYL-4-CARBOXYLIC ACID",OC(=O)C1=CC=C(C=C1)C1=CC=C(F)C=C1
Isoferulic acid,COC1=C(O)C=C(\C=C\C(O)=O)C=C1
4-(4-FLUOROBENZYL)PIPERIDINE,FC1=CC=C(CC2CCNCC2)C=C1
"(4S,5E,7Z,10Z,13Z,16Z,19Z)-4-hydroxydocosa-5,7,10,13,16,19-hexaenoic acid",[H][C@](O)(CCC(O)=O)\C=C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
N-[(4-HYDROXY-8-IODOISOQUINOLIN-3-YL)CARBONYL]GLYCINE,OC(=O)CNC(=O)C1=C(O)C2=CC=CC(I)=C2C=N1
"(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE",[H][C@]1(OC2=C(C=C(C=C2)C2=C(N)N=C(N)N=C2CC)N(CCCOC)C1=O)C1=CC(F)=CC(F)=C1
4-[(METHYLSULFONYL)AMINO]BENZOIC ACID,CS(=O)(=O)NC1=CC=C(C=C1)C(O)=O
"N-(4-chlorobenzyl)-N-methylbenzene-1,4-disulfonamide",CN(CC1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C=C1)S(N)(=O)=O
1-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-4-METHYL-1H-INDOLE,[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=CC2=C(C)C=CC=C12
"5-(4-PHENOXYPHENYL)-5-(4-PYRIMIDIN-2-YLPIPERAZIN-1-YL)PYRIMIDINE-2,4,6(2H,3H)-TRIONE",O=C1NC(=O)C(N2CCN(CC2)C2=NC=CC=N2)(C(=O)N1)C1=CC=C(OC2=CC=CC=C2)C=C1
Hymecromone,CC1=CC(=O)OC2=C1C=CC(O)=C2
1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL,OC1=CC=C(C=C1)C1=CC=C2C(C=CC(O)=C2Cl)=C1
"3-Carbamimidamido-1,1-diphenylurea",NC(N)=NNC(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
"4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",[H][C@]1(N(CCSC1(C)C)S(=O)(=O)C1=CC=C(OCC#CCN)C=C1)C(=O)NO
1-[4-(2-oxo-2-phenylethyl)phenyl]guanidine,NC(N)=NC1=CC=C(CC(=O)C2=CC=CC=C2)C=C1
N-(4-METHYLBENZOYL)-4-BENZYLPIPERIDINE,CC1=CC=C(C=C1)C(=O)N1CCC(CC2=CC=CC=C2)CC1
"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",[H][C@@](N)(COC1=CN=CC(=C1)C1=NCC2=NN=CC2=C1)CC1=C2C=CCC=C2N=C1
"4-(6-{[(1R)-1-(hydroxymethyl)propyl]amino}imidazo[1,2-b]pyridazin-3-yl)benzoic acid",[H][C@@](CC)(CO)NC1=NN2C(C=C1)=NC=C2C1=CC=C(C=C1)C(O)=O
O6-CYCLOHEXYLMETHOXY-2-(4'-SULPHAMOYLANILINO) PURINE,NS(=O)(=O)C1=CC=C(NC2=NC(OCC3CCCCC3)=C3N=CNC3=N2)C=C1
"{4-[2,2-BIS(5-METHYL-1,2,4-OXADIAZOL-3-YL)-3-PHENYLPROPYL]PHENYL}SULFAMIC ACID",CC1=NC(=NO1)C(CC1=CC=CC=C1)(CC1=CC=C(NS(O)(=O)=O)C=C1)C1=NOC(C)=N1
"N7-BUTYL-N2-(5-CHLORO-2-METHYLPHENYL)-5-METHYL[1,2,4]TRIAZOLO[1,5-A]PYRIMIDINE-2,7-DIAMINE",CCCCNC1=CC(C)=NC2=NC(NC3=CC(Cl)=CC=C3C)=NN12
"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",[H][C@](C)(N)COC1=C(C)C=CC=C1C
4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID,OC(=O)COC1=C(SC(=C1Br)C1=CC=CC=C1)C(O)=O
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,[H][C@]1(CCCN1C(=O)CCC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
1-{2-OXO-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-5-YL}UREA,[H][C@](C)(C1=CC=CN1)C1=C2C=C(NC(N)=O)C=CC2=NC1=O
D-phenylalanyl-N-(3-methylbenzyl)-L-prolinamide,[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC(C)=CC=C1
"5-(4-CHLORO-5-PHENYL-3-THIENYL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE",ClC1=C(SC=C1N1CC(=O)NS1(=O)=O)C1=CC=CC=C1
"(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE",[H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@@]([H])(C(=O)N(C)C)[C@@]1([H])CC[C@@]([H])(CC1)C1=CC=CC2=NC=NN12
BX-528,CC(C)[C@H](NS(=O)(=O)CCCC1=CC=CC=C1)P(O)(=O)C[C@H](C(O)=O)C1=CC=CC(CN)=C1
(2S)-N-[(3E)-5-Cyclopropyl-3H-pyrazol-3-ylidene]-2-[4-(2-oxo-1-imidazolidinyl)phenyl]propanamide,C[C@H](C(=O)\N=C1/C=C(N=N1)C1CC1)C1=CC=C(C=C1)N1CCNC1=O
Neflamapimod,FC1=CC(F)=C(SC2=NN3C=NC(=O)C(=C3C=C2)C2=C(Cl)C=CC=C2Cl)C=C1
3-[5-(3-nitrophenyl)thiophen-2-yl]propanoic acid,OC(=O)CCC1=CC=C(S1)C1=CC(=CC=C1)[N+]([O-])=O
"5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",[H][C@](C)(C#CC1=C(C)N=C(N)N=C1N)C1=CC(OC)=CC(=C1)C1=CC=CC=C1
"5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",[H][C@](C)(C#CC1=C(C)N=C(N)N=C1N)C1=CC(OC)=CC(=C1)C1=CC=C(C)C=C1
"5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",[H][C@](C)(C#CC1=C(C)N=C(N)N=C1N)C1=CC(OC)=CC(=C1)C1=CC(C)=CC(C)=C1
D-phenylalanyl-N-benzyl-L-prolinamide,[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC=CC=C1
"5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",[H][C@](C)(C#CC1=C(N)N=C(N)N=C1C)C1=CC(OC)=CC(=C1)C1=C(C)C=CC=C1C
(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,[H][C@](C)(N1CC[C@](C)(C1=O)C1=CC=C(OCC2=CC(C)=NC3=CC=CC=C23)C=C1)C(=O)NO
"2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE",C(CN1CCNCC1)NC1=CC=NC2=C1C(=C(O2)C1=CC=CC=C1)C1=CC=CC=C1
"methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate",[H][C@@]1(C[C@]1(CC1=CC=C(OCC2=CC(C)=NC3=C2C=CC=C3)C=C1)C(=O)OC)C(=O)NO
"(6S)-1-chloro-3-[(4-fluorobenzyl)oxy]-6-(pyrrolidin-1-ylcarbonyl)pyrrolo[1,2-a]pyrazin-4(6H)-one",[H][C@]1(C=CC2=C(Cl)N=C(OCC3=CC=C(F)C=C3)C(=O)N12)C(=O)N1CCCC1
"(7S)-2-(2-aminopyrimidin-4-yl)-7-(2-fluoroethyl)-1,5,6,7-tetrahydro-4H-pyrrolo[3,2-c]pyridin-4-one",[H][C@]1(CCF)CNC(=O)C2=C1NC(=C2)C1=NC(N)=NC=C1
4-(4-HYDROXYPHENYL)-1-NAPHTHALDEHYDE OXIME,O\N=C\C1=C2C=CC=CC2=C(C=C1)C1=CC=C(O)C=C1
4-(4-hydroxy-3-methylphenyl)-6-phenylpyrimidin-2(5H)-one,CC1=CC(=CC=C1O)C1=NC(=O)N=C(C1)C1=CC=CC=C1
N-[4-(5-fluoro-6-methylpyridin-2-yl)-5-quinoxalin-6-yl-1H-imidazol-2-yl]acetamide,CC(=O)NC1=NC(=C(N1)C1=CC=C2N=CC=NC2=C1)C1=NC(C)=C(F)C=C1
"6-methyl-5-[3-methyl-3-(3,4,5-trimethoxyphenyl)but-1-yn-1-yl]pyrimidine-2,4-diamine",COC1=CC(=CC(OC)=C1OC)C(C)(C)C#CC1=C(C)N=C(N)N=C1N
"(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-METHYL-1,4-DIAZEPAN-2-ONE",[H][C@](N)(CC(=O)N1CCCNC(=O)[C@@]1([H])C)CC1=C(F)C=C(F)C(F)=C1
(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE,[H][C@]1(CN(C2CCCCC2)C(=O)C1)C(=O)NC1=CC=CC=C1
"(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione",BrC1=CC=C2C(=O)NC(=O)\C(=C/NC3=CC=C(CN4CCCC4)C=C3)C2=C1
"(5R,6S,8S)-8-[3-(AMINOMETHYL)PHENYL]-6-HYDROXY-5-ISOPROPYL-3-OXO-1-PHENYL-2,7-DIOXA-4-AZA-6-PHOSPHANONAN-9-OIC ACID 6-OXIDE",[H][C@](NC(=O)OCC1=CC=CC=C1)(C(C)C)[P@@](O)(=O)O[C@]([H])(C(O)=O)C1=CC(CN)=CC=C1
"5-ETHYL-3-METHYL-1,5-DIHYDRO-4H-PYRAZOLO[4,3-C]QUINOLIN-4-ONE",CCN1C(=O)C2=C(NN=C2C)C2=C1C=CC=C2
Tamatinib,COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)NC4=N3)=N2)=CC(OC)=C1OC
"N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCINE",[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@]1([H])O[C@]1([H])C(=O)OCC)C(O)=O
5-phenyl-1H-indazol-3-amine,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1
4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)C1=CC2=C(NN=C2N)C=C1
5-[(2-AMINOETHYL)AMINO]-6-FLUORO-3-(1H-PYRROL-2-YL)BENZO[CD]INDOL-2(1H)-ONE,NCCNC1=CC(C2=CC=CN2)=C2C(=O)NC3=CC=C(F)C1=C23
"N-cyclopropyl-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",C1CC1NC1=NC(=CC=N1)C1=C2C=CC=NN2N=C1
N-(5-CHLORO-BENZO[B]THIOPHEN-3-YLMETHYL)-2-[6-CHLORO-OXO-3-(2-PYRIDIN-2-YL-ETHYLAMINO)-2H-PYRAZIN-1-YL]-ACETAMIDE,[H][C@@]1(Cl)CN=C(NCCC2=NC=CC=C2)[C@]([H])(O)N1CC(=O)NCC1=CSC2=CC=C(Cl)C=C12
5-CYANO-FURAN-2-CARBOXYLIC ACID [5-HYDROXYMETHYL-2-(4-METHYL-PIPERIDIN-1-YL)-PHENYL]-AMIDE,CC1CCN(CC1)C1=CC=C(CO)C=C1NC(=O)C1=CC=C(O1)C#N
[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile,CNC1=NC(NC2=CC=C(CC#N)C=C2)=NC(NC2=NNC(=C2)C2CC2)=C1
"5R-(3,4-DICHLOROPHENYLMETHYL)-3-(2-THIOPHENESULFONYLAMINO)-4-OXO-2-THIONOTHIAZOLIDINE",[H][C@]1(CC2=CC=C(Cl)C(Cl)=C2)SC(=S)N(NS(=O)(=O)C2=CC=CS2)C1=O
"5'-FLUORO-2',5'-DIDEOXYADENOSINE",[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CF)N1C=NC2=C1N=CN=C2N
"5-(2-hydroxyethyl)nonane-1,9-diol",OCCCCC(CCO)CCCCO
"(5R,6E,8Z,11Z,14Z,17Z)-5-hydroxyicosa-6,8,11,14,17-pentaenoic acid",[H][C@@](O)(CCCC(O)=O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC
"7-(5-DEOXY-BETA-D-RIBOFURANOSYL)-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE",[H][C@]1(C)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
"6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-4-(3-METHOXYPROPYL)-2,2-DIMETHYL-2H-1,4-BENZOXAZIN-3(4H)-ONE",CCC1=C(C(N)=NC(N)=N1)C1=CC=C2OC(C)(C)C(=O)N(CCCOC)C2=C1
N-{2-methyl-5-[(6-phenylpyrimidin-4-yl)amino]phenyl}methanesulfonamide,CC1=CC=C(NC2=CC(=NC=N2)C2=CC=CC=C2)C=C1NS(C)(=O)=O
"(5E,13E)-11-HYDROXY-9,15-DIOXOPROSTA-5,13-DIEN-1-OIC ACID",[H]C(CCCC(O)=O)=C([H])CC1C(\C([H])=C(/[H])C(=O)CCCCC)C(O)CC1=O
5-PENTYL-2-PHENOXYPHENOL,CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1
"3-((3-bromo-5-o-tolylpyrazolo[1,5-a]pyrimidin-7-ylamino)methyl)pyridine 1-oxide",CC1=C(C=CC=C1)C1=NC2=C(Br)C=NN2C(NCC2=C[N+]([O-])=CC=C2)=C1
"5-[(Z)-(5-Chloro-2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl]-N,2,4-trimethyl-1H-pyrrole-3-carboxamide",[H]N(C)C(=O)C1=C(C)N([H])C(\C=C2/C(=O)N([H])C3=C2C=C(Cl)C=C3)=C1C
"4'-[(1R)-1-amino-2-(2,5-difluorophenyl)ethyl]biphenyl-3-carboxamide",[H][C@@](N)(CC1=CC(F)=CC=C1F)C1=CC=C(C=C1)C1=CC=CC(=C1)C(N)=O
(2S)-2-(3-Carbamimidamidophenyl)-3-[hydroxy(3-phenylpropyl)phosphoryl]propanoic acid,NC(N)=NC1=CC=CC(=C1)C(CP(O)(=O)CCCC1=CC=CC=C1)C(O)=O
N-(4-phenoxyphenyl)-2-[(pyridin-4-ylmethyl)amino]nicotinamide,O=C(NC1=CC=C(OC2=CC=CC=C2)C=C1)C1=C(NCC2=CC=NC=C2)N=CC=C1
"6-(cyclohexylsulfanyl)-1-(ethoxymethyl)-5-(1-methylethyl)pyrimidine-2,4(1H,3H)-dione",CCOCN1C(=O)NC(=O)C(C(C)C)=C1SC1CCCCC1
2-{[(4-CHLOROPHENOXY)ACETYL]AMINO}BENZOIC ACID,OC(=O)C1=C(NC(=O)COC2=CC=C(Cl)C=C2)C=CC=C1
"4-(4-METHYLPIPERAZIN-1-YL)-N-[5-(2-THIENYLACETYL)-1,5-DIHYDROPYRROLO[3,4-C]PYRAZOL-3-YL]BENZAMIDE",CN1CCN(CC1)C1=CC=C(C=C1)C(=O)NC1=NNC2=CN(C=C12)C(=O)CC1=CC=CS1
CP-744809,CC1=C(OC2=CC=C(Cl)C=C12)S(=O)(=O)C1=NNC(=O)C=C1
"(3S)-1-CYCLOHEXYL-N-(3,5-DICHLOROPHENYL)-5-OXOPYRROLIDINE-3-CARBOXAMIDE",[H][C@]1(CN(C2CCCCC2)C(=O)C1)C(=O)NC1=CC(Cl)=CC(Cl)=C1
"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",[H][C@@]1(C[C@@]11C[C@]([H])(NC1=O)C1=CC=C(OCC2=CC(=NC3=C2C=CC=C3)C2=CC=CC=C2)C=C1)C(O)=O
3-cyclohexyl-D-alanyl-N-(3-chlorobenzyl)-L-prolinamide,[H][C@@](N)(CC1CCCCC1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC(Cl)=CC=C1
(3S)-N-(3-BROMOPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,[H][C@]1(CN(C2CCCCC2)C(=O)C1)C(=O)NC1=CC=CC(Br)=C1
"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine",[H][C@]1(N)CN2C(C[C@]1([H])C1=C(F)C=C(F)C(F)=C1)=NC1=CC(=CC=C21)S(C)(=O)=O
"2-{2-[(3,5-dimethylphenyl)amino]pyrimidin-4-yl}-N-[(1S)-2-hydroxy-1-methylethyl]-4-methyl-1,3-thiazole-5-carboxamide",[H][C@](C)(CO)NC(=O)C1=C(C)N=C(S1)C1=NC(NC2=CC(C)=CC(C)=C2)=NC=C1
"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",[H][C@]1(C)C=C(C)[C@]2([H])[C@]([H])(C)[C@@]1(CO)CO[C@]2([H])C1=CC=C(O)C=C1
N-methyl-1-(2-thiophen-2-ylphenyl)methanamine,CNCC1=CC=CC=C1C1=CC=CS1
4-BROMO-3-(CARBOXYMETHOXY)-5-(4-HYDROXYPHENYL)THIOPHENE-2-CARBOXYLIC ACID,OC(=O)COC1=C(SC(=C1Br)C1=CC=C(O)C=C1)C(O)=O
5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-CARBONITRILE,OC1=CC=C(C=C1)C1=CC2=C(O1)C(=CC(O)=C2)C#N
"(2S,4S,5R)-1-(4-TERT-BUTYLBENZOYL)-2-ISOBUTYL-5-(1,3-THIAZOL-2-YL)PYRROLIDINE-2,4-DICARBOXYLIC ACID",[H][C@@]1(C[C@](CC(C)C)(N(C(=O)C2=CC=C(C=C2)C(C)(C)C)[C@@]1([H])C1=NC=CS1)C(O)=O)C(O)=O
"(2S,4S,5R)-2-ISOBUTYL-5-(2-THIENYL)-1-[4-(TRIFLUOROMETHYL)BENZOYL]PYRROLIDINE-2,4-DICARBOXYLIC ACID",[H][C@@]1(C[C@](CC(C)C)(N(C(=O)C2=CC=C(C=C2)C(F)(F)F)[C@@]1([H])C1=CC=CS1)C(O)=O)C(O)=O
6-CHLORO-3-(3-METHYLISOXAZOL-5-YL)-4-PHENYLQUINOLIN-2(1H)-ONE,CC1=NOC(=C1)C1=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
6-CYCLOHEXYLMETHOXY-2-(3'-CHLOROANILINO) PURINE,ClC1=CC=CC(NC2=NC(OCC3CCCCC3)=C3NC=NC3=N2)=C1
"(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE",[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2
N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2N=CN=C3NCCC(C)C)[C@]([H])(O)[C@]1([H])O
6-[2-(1H-INDOL-6-YL)ETHYL]PYRIDIN-2-AMINE,NC1=NC(CCC2=CC=C3C=CNC3=C2)=CC=C1
2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,NC(=N)C1=CC=C2NC(=NC2=C1)C1=NNC(=C1O)C1=CC=CC=C1
"(8E,10S,12Z)-10-hydroxy-6-oxooctadeca-8,12-dienoic acid",[H][C@](O)(C\C=C/CCCCC)\C=C\CC(=O)CCCCC(O)=O
"(8R,9Z,12Z)-8-hydroxy-6-oxooctadeca-9,12-dienoic acid",[H][C@@](O)(CC(=O)CCCCC(O)=O)\C=C/C\C=C/CCCCC
